run_id,run_label,train,disable_terminations,curriculum,prompt,seed,difficulty,duration_requested_s,fps,frames,duration_actual_s,root_z_initial,root_z_min,root_z_max,root_z_range,root_xy_displacement,root_speed_max,root_speed_mean,root_accel_max,joint_pos_abs_max,joint_vel_abs_max,joint_vel_rms,joint_accel_abs_max,body_speed_max,body_ang_speed_max,has_reference_video,has_training_logs,train_video_count,checkpoint_count
1779248124_a-person-walks-forwards-then-lifts-their-right-k_seed0,,False,True,,"a person walks forwards, then lifts their right knee up, puts it down, then kicks",0,,4.0,50.0,199,3.98,0.7798432111740112,0.7092943787574768,0.7804061770439148,0.07111179828643799,2.5403111623238006,1.1977930949121784,0.6667489915035804,6.484958608150998,1.5716307163238525,10.247239112854004,1.236667503582221,250.04721879959106,5.797988558705121,13.457897737497637,True,False,0,0
1779249024_a-person-walks-forward_seed0,,True,True,,A person walks forward,0,,4.0,50.0,199,3.98,0.7746100425720215,0.6892565488815308,0.7778267860412598,0.088570237159729,5.762628233471233,2.1020474942944696,1.485101154889635,12.761522584697714,1.4801089763641357,11.788511276245117,1.769980844710674,235.09173393249512,5.447167128772158,12.680192045075815,False,True,3,3
1779249658_a-person-walks-forward_seed0,,True,True,,A person walks forward,0,,4.0,50.0,199,3.98,0.7746100425720215,0.6892565488815308,0.7778267860412598,0.088570237159729,5.762628233471233,2.1020474942944696,1.485101154889635,12.761522584697714,1.4801089763641357,11.788511276245117,1.769980844710674,235.09173393249512,5.447167128772158,12.680192045075815,False,True,6,6
1779563206_a-person-taps-themselves-on-the-head_seed0,,False,True,,A person taps themselves on the head,0,,4.0,50.0,199,3.98,0.7801569104194641,0.7787339091300964,0.7845957279205322,0.005861818790435791,0.010920975945395704,0.11315084690549068,0.039351500848194665,0.5143620795038999,1.6846280097961426,3.756195306777954,0.3952565432398353,30.88429570198059,1.5285557145419633,6.311918414465927,True,False,0,0
1780189976_a-person-squats-down-and-stands-up_seed0,,True,True,,A person squats down and stands up,0,,4.0,50.0,199,3.98,0.7549999952316284,0.6318743824958801,1.1594773530960083,0.5276029706001282,0.10956897711181111,0.8241887791334097,0.17977957051460464,3.845239277132856,2.5862693786621094,3.8644864559173584,0.6203794150823333,42.652320861816406,0.9756105747506784,5.6188705440573585,False,True,1,3
1780189976_a-person-taps-themselves-on-the-head_seed0,,True,True,,A person taps themselves on the head,0,,4.0,50.0,199,3.98,0.7801569104194641,0.7787339091300964,0.7845957279205322,0.005861818790435791,0.010920975945395704,0.11315084690549068,0.039351500848194665,0.5143620795038999,1.6846280097961426,3.756195306777954,0.3952565432398353,30.88429570198059,1.5285557145419633,6.311918414465927,False,True,1,3
1780189976_a-person-walks-forward_seed0,,True,True,,A person walks forward,0,,4.0,50.0,199,3.98,0.7746174335479736,0.6892266869544983,0.7778180241584778,0.08859133720397949,5.76344226305048,2.101272934071846,1.4852905598619799,12.767876283226421,1.4801093339920044,11.789538383483887,1.77022240250878,235.23633480072021,5.448437488305543,12.681034462992743,False,True,1,3
1780189976_a-person-waves-with-their-right-hand_seed0,,True,True,,A person waves with their right hand,0,,4.0,50.0,199,3.98,0.7738611102104187,0.7735384702682495,0.777076244354248,0.003537774085998535,0.011242965760878883,0.08235073321892408,0.027912963187573917,1.2876020515452078,2.108549118041992,12.509547233581543,1.3089512919822435,290.3262495994568,2.29815359008334,16.837986740912992,False,True,1,3
1780200983_a-person-walks-forward_seed0_strict,strict,True,False,,A person walks forward,0,,4.0,50.0,199,3.98,0.7746174335479736,0.6892266869544983,0.7778180241584778,0.08859133720397949,5.76344226305048,2.101272934071846,1.4852905598619799,12.767876283226421,1.4801093339920044,11.789538383483887,1.77022240250878,235.23633480072021,5.448437488305543,12.681034462992743,False,True,5,3
1780201117_a-person-squats-down-and-stands-up_seed0_loose-video,loose_video,True,True,,A person squats down and stands up,0,,4.0,50.0,199,3.98,0.7549999952316284,0.6318743824958801,1.1594773530960083,0.5276029706001282,0.10956897711181111,0.8241887791334097,0.17977957051460464,3.845239277132856,2.5862693786621094,3.8644864559173584,0.6203794150823333,42.652320861816406,0.9756105747506784,5.6188705440573585,False,True,5,3
