motion,condition,final_reward,final_episode_length,body_pos_error,joint_pos_error,termination_total,steps_per_second
Walk,Loose,11.3516,250,0.12326,0.916231,0,25569
Walk,Strict,13.123,244.78,0.074837,0.8324,0.333333,25463
Walk,Curriculum,11.1855,232.64,0.0888476,0.904901,0.5,25543
Wave,Loose,18.1319,250,0.0347869,0.622437,0,22997
Wave,Strict,18.0677,250,0.0355768,0.606359,0,18592
Tap head,Loose,18.4496,250,0.0452723,0.574711,0,22729
Tap head,Strict,17.409,246.68,0.0410659,0.649626,0.0833333,19406
Squat,Loose,13.6573,250,0.27128,1.54512,0,24638
Squat,Strict,0.837295,13.52,0.233561,0.483804,144.875,31223
