run_id,event_log,condition,run_label,disable_terminations,prompt,seed,num_envs,max_iterations,reference_time_scale,effective_duration,Train/mean_reward,Train/mean_episode_length,Metrics/motion/error_body_pos,Metrics/motion/error_joint_pos,Metrics/motion/error_anchor_pos,Episode_Termination/anchor_pos,Perf/total_fps,Episode_Termination/anchor_ori,Episode_Termination/ee_body_pos
1780421013_a-person-jumps_seed3_bestofn-jump-best-strict,2026-06-02_17-27-25_1780421013_a-person-jumps_seed3_bestofn-jump-best-strict,bestofn-jump-best-strict,bestofn-jump-best-strict,False,A person jumps,3,256,150,1.0,4.0,-0.13852742314338684,5.130000114440918,0.07928531616926193,1.9046554565429688,0.05707543343305588,0.0,7283.0,0.4583333432674408,50.25
1780421013_a-person-jumps_seed4_bestofn-jump-worst-stric,2026-06-02_17-27-21_1780421013_a-person-jumps_seed4_bestofn-jump-worst-stric,bestofn-jump-worst-strict,bestofn-jump-worst-strict,False,A person jumps,4,256,150,1.0,4.0,-0.19344232976436615,5.139999866485596,0.0807558000087738,2.016815185546875,0.058409564197063446,0.0,7529.0,0.0833333358168602,52.083335876464844
1780421013_a-person-rolls-forward-on-the-ground_seed1_bestofn-roll-worst-stric,2026-06-02_17-27-27_1780421013_a-person-rolls-forward-on-the-ground_seed1_bestofn-roll-worst-stric,bestofn-roll-worst-strict,bestofn-roll-worst-strict,False,A person rolls forward on the ground,1,256,150,1.0,4.0,-0.07267341762781143,4.519999980926514,0.0840991958975792,1.7845206260681152,0.06302455067634583,0.0,7015.0,0.0833333358168602,58.708335876464844
1780421013_a-person-rolls-forward-on-the-ground_seed3_bestofn-roll-best-strict,2026-06-02_17-26-25_1780421013_a-person-rolls-forward-on-the-ground_seed3_bestofn-roll-best-strict,bestofn-roll-best-strict,bestofn-roll-best-strict,False,A person rolls forward on the ground,3,256,150,1.0,4.0,-0.05260740593075752,4.400000095367432,0.09738993644714355,1.971320629119873,0.08130869269371033,0.0,10117.0,0.0833333358168602,56.79166793823242
1780421451_a-person-squats-down-and-stands-up_seed3_bestofn-squat-stand-best,2026-06-02_17-34-02_1780421451_a-person-squats-down-and-stands-up_seed3_bestofn-squat-stand-best,bestofn-squat_stand-best-strict,bestofn-squat_stand-best-strict,False,A person squats down and stands up,3,256,150,1.0,4.0,-0.2918488681316376,4.480000019073486,0.09501242637634277,2.5121235847473145,0.09232976287603378,0.0416666679084301,9442.0,0.0,57.333335876464844
1780421562_a-person-squats-down-and-stands-up_seed1_bestofn-squat-stand-wors,2026-06-02_17-35-46_1780421562_a-person-squats-down-and-stands-up_seed1_bestofn-squat-stand-wors,bestofn-squat_stand-worst-strict,bestofn-squat_stand-worst-strict,False,A person squats down and stands up,1,256,150,1.0,4.0,-0.518572986125946,4.579999923706055,0.09860207140445709,2.48941969871521,0.09563630819320679,0.6666666865348816,9435.0,0.125,56.66666793823242
